"word";"sub"
"erneuerbaren";"erneuerbar"
"europaischen";"europaisch"
"schulern";"schuler"
"mutmasslichen";"mutmasslich"
"kostet";"kost"
"kosten";"kost"
"alten";"alt"
"milliarden";"milliard"
"millionen";"million"
"yorker";"york"
"katholischen";"katholisch"
"evangelischen";"evangelisch"
"islamischen";"islamisch"
"jugendlichen";"jugendlich"
"kindern";"kind"
"kinder";"kind"
"junger";"jung"
"gespielt";"spiel"
"spielen";"spiel"
"spielt";"spiel"
"auswertigen";"auswertig"
"entscheidungen";"entscheidung"
"suddeutschen";"suddeutsch"
"netzwerken";"netzwerk"
"vereinigten";"vereinigt"
"deutschen";"deutsch"
"franzosischen";"franzosisch"
"italienischen";"italienisch"
"spanischen";"spanisch"
"portugiesischen";"portugiesisch"
"niederlandischen";"niederlandisch"
"belgischen";"belgisch"
"schweizerischen";"schweizerisch"
"osterreichischen";"osterreichisch"
"polnischen";"polnisch"
"tschechischen";"tschechisch"
"ungarischen";"ungarisch"
"slowakischen";"slowakisch"
"slowenischen";"slowenisch"
"kroatischen";"kroatisch"
"serbischen";"serbisch"
"bosnischen";"bosnisch"
"bulgarischen";"bulgarisch"
"rumanischen";"rumanisch"
"griechischen";"griechisch"
"turkischen";"turkisch"
"russischen";"russisch"
"ukrainischen";"ukrainisch"
"weisrussischen";"weisrussisch"
"finnischen";"finnisch"
"schwedischen";"schwedisch"
"norwegischen";"norwegisch"
"danischen";"danisch"
"britischen";"britisch"
"irischen";"irisch"
"amerikanischen";"amerikanisch"
"kanadischen";"kanadisch"
"mexikanischen";"mexikanisch"
"kubanischen";"kubanisch"
"dominikanischen";"dominikanisch"
"kolumbianischen";"kolumbianisch"
"venezolanischen";"venezolanisch"
"ecuadorianischen";"ecuadorianisch"
"peruanischen";"peruanisch"
"brasilianischen";"brasilianisch"
"argentinischen";"argentinisch"
"chilenischen";"chilenisch"
"uruguayischen";"uruguayisch"
"paraguayischen";"paraguayisch"
"bolivianischen";"bolivianisch"
"guatemaltekischen";"guatemaltekisch"
"costaricanischen";"costaricanisch"
"panamaischen";"panamaisch"
"jamaikanischen";"jamaikanisch"
"haitianischen";"haitianisch"
"chinesischen";"chinesisch"
"japanischen";"japanisch"
"sudkoreanischen";"sudkoreanisch"
"nordkoreanischen";"nordkoreanisch"
"indischen";"indisch"
"pakistanischen";"pakistanisch"
"bangladeschischen";"bangladeschisch"
"nepalesischen";"nepalesisch"
"myanmarischen";"myanmarisch"
"thailandischen";"thailandisch"
"vietnamesischen";"vietnamesisch"
"malaysischen";"malaysisch"
"singapurischen";"singapurisch"
"indonesischen";"indonesisch"
"philippinischen";"philippinisch"
"australischen";"australisch"
"neuseelandischen";"neuseelandisch"
"agyptischen";"agyptisch"
"marokkanischen";"marokkanisch"
"algerischen";"algerisch"
"tunesischen";"tunesisch"
"libyschen";"libysch"
"sudanesischen";"sudanesisch"
"athiopischen";"athiopisch"
"kenianischen";"kenianisch"
"tansanischen";"tansanisch"
"ugandischen";"ugandisch"
"ruandischen";"ruandisch"
"burundischen";"burundisch"
"ghanaischen";"ghanaisch"
"nigerianischen";"nigerianisch"
"kamerunischen";"kamerunisch"
"senegalesischen";"senegalesisch"
"elfenbeinkusterlichen";"elfenbeinkusterlich"
"malischen";"malisch"
"nigerischen";"nigerisch"
"burkinischen";"burkinisch"
"sudafrikanischen";"sudafrikanisch"
"simbabwischen";"simbabwisch"
"sambischen";"sambisch"
"malawischen";"malawisch"
"mosambikanischen";"mosambikanisch"
"angolanischen";"angolanisch"
"namibischen";"namibisch"
"botswanischen";"botswanisch"
"madagassischen";"madagassisch"
"arabischen";"arabisch"
"israelischen";"israelisch"
"iranischen";"iranisch"
"aachen";"aach"
"aaen";"aa"
"aalen";"aal"
"aalglatten";"aalglatt"
"aalwehren";"aalwehr"
"abarbeiten";"abarbeit"
"abarbeiteten";"abarbeitet"
"abarten";"abart"
"abartigen";"abartig"
"abbaubaren";"abbaubar"
"abbauen";"abbau"
"abbaugebieten";"abbaugebiet"
"abbaugenehmigungen";"abbaugenehmigung"
"abbauprodukten";"abbauprodukt"
"abbauten";"abbaut"
"abbauzeiten";"abbauzeit"
"abbekamen";"abbekam"
"abbekommen";"abbekomm"
"abberufenen";"abberufen"
"abberufungen";"abberufung"
"abbestellten";"abbestellt"
"abbestellungen";"abbestellung"
"abbezahlen";"abbezahl"
"abbezahlten";"abbezahlt"
"abbiegemoglichkeiten";"abbiegemoglichkeit"
"abbiegen";"abbieg"
"abbiegenden";"abbiegend"
"abbiegespuren";"abbiegespur"
"abbiegungen";"abbiegung"
"abbildbaren";"abbildbar"
"abbilden";"abbild"
"abbildungen";"abbildung"
"abbinden";"abbind"
"abbitten";"abbitt"
"abblatternden";"abblatternd"
"abbogen";"abbog"
"abbrachen";"abbrach"
"abbrannten";"abbrannt"
"abbrechen";"abbrech"
"abbrechenden";"abbrechend"
